Method,Training_Size,Training_Config,Attack_Traces,Key_Rank,Run,Seed
Standard CNN,1280,5-shot equivalent,100,46,1,42
Standard CNN,1280,5-shot equivalent,500,33,1,42
Standard CNN,1280,5-shot equivalent,1000,33,1,42
Standard CNN,1280,5-shot equivalent,2000,150,1,42
Standard CNN,1280,5-shot equivalent,5000,201,1,42
Standard CNN,1280,5-shot equivalent,10000,220,1,42
Standard CNN,2560,10-shot equivalent,100,166,1,42
Standard CNN,2560,10-shot equivalent,500,24,1,42
Standard CNN,2560,10-shot equivalent,1000,98,1,42
Standard CNN,2560,10-shot equivalent,2000,175,1,42
Standard CNN,2560,10-shot equivalent,5000,242,1,42
Standard CNN,2560,10-shot equivalent,10000,205,1,42
Standard CNN,3840,15-shot equivalent,100,33,1,42
Standard CNN,3840,15-shot equivalent,500,55,1,42
Standard CNN,3840,15-shot equivalent,1000,54,1,42
Standard CNN,3840,15-shot equivalent,2000,6,1,42
Standard CNN,3840,15-shot equivalent,5000,28,1,42
Standard CNN,3840,15-shot equivalent,10000,10,1,42
Standard CNN,5120,20-shot equivalent,100,232,1,42
Standard CNN,5120,20-shot equivalent,500,209,1,42
Standard CNN,5120,20-shot equivalent,1000,208,1,42
Standard CNN,5120,20-shot equivalent,2000,206,1,42
Standard CNN,5120,20-shot equivalent,5000,36,1,42
Standard CNN,5120,20-shot equivalent,10000,98,1,42
Standard CNN,50000,Full training set,100,244,1,42
Standard CNN,50000,Full training set,500,141,1,42
Standard CNN,50000,Full training set,1000,150,1,42
Standard CNN,50000,Full training set,2000,139,1,42
Standard CNN,50000,Full training set,5000,173,1,42
Standard CNN,50000,Full training set,10000,46,1,42
Standard CNN,1280,5-shot equivalent,100,166,2,43
Standard CNN,1280,5-shot equivalent,500,69,2,43
Standard CNN,1280,5-shot equivalent,1000,74,2,43
Standard CNN,1280,5-shot equivalent,2000,108,2,43
Standard CNN,1280,5-shot equivalent,5000,40,2,43
Standard CNN,1280,5-shot equivalent,10000,52,2,43
Standard CNN,2560,10-shot equivalent,100,82,2,43
Standard CNN,2560,10-shot equivalent,500,2,2,43
Standard CNN,2560,10-shot equivalent,1000,4,2,43
Standard CNN,2560,10-shot equivalent,2000,23,2,43
Standard CNN,2560,10-shot equivalent,5000,41,2,43
Standard CNN,2560,10-shot equivalent,10000,57,2,43
Standard CNN,3840,15-shot equivalent,100,210,2,43
Standard CNN,3840,15-shot equivalent,500,212,2,43
Standard CNN,3840,15-shot equivalent,1000,154,2,43
Standard CNN,3840,15-shot equivalent,2000,167,2,43
Standard CNN,3840,15-shot equivalent,5000,168,2,43
Standard CNN,3840,15-shot equivalent,10000,142,2,43
Standard CNN,5120,20-shot equivalent,100,238,2,43
Standard CNN,5120,20-shot equivalent,500,181,2,43
Standard CNN,5120,20-shot equivalent,1000,216,2,43
Standard CNN,5120,20-shot equivalent,2000,209,2,43
Standard CNN,5120,20-shot equivalent,5000,218,2,43
Standard CNN,5120,20-shot equivalent,10000,196,2,43
Standard CNN,50000,Full training set,100,138,2,43
Standard CNN,50000,Full training set,500,64,2,43
Standard CNN,50000,Full training set,1000,46,2,43
Standard CNN,50000,Full training set,2000,92,2,43
Standard CNN,50000,Full training set,5000,214,2,43
Standard CNN,50000,Full training set,10000,115,2,43
Standard CNN,1280,5-shot equivalent,100,150,3,44
Standard CNN,1280,5-shot equivalent,500,18,3,44
Standard CNN,1280,5-shot equivalent,1000,14,3,44
Standard CNN,1280,5-shot equivalent,2000,114,3,44
Standard CNN,1280,5-shot equivalent,5000,124,3,44
Standard CNN,1280,5-shot equivalent,10000,222,3,44
Standard CNN,2560,10-shot equivalent,100,128,3,44
Standard CNN,2560,10-shot equivalent,500,188,3,44
Standard CNN,2560,10-shot equivalent,1000,185,3,44
Standard CNN,2560,10-shot equivalent,2000,140,3,44
Standard CNN,2560,10-shot equivalent,5000,89,3,44
Standard CNN,2560,10-shot equivalent,10000,130,3,44
Standard CNN,3840,15-shot equivalent,100,55,3,44
Standard CNN,3840,15-shot equivalent,500,192,3,44
Standard CNN,3840,15-shot equivalent,1000,157,3,44
Standard CNN,3840,15-shot equivalent,2000,243,3,44
Standard CNN,3840,15-shot equivalent,5000,214,3,44
Standard CNN,3840,15-shot equivalent,10000,164,3,44
