Method,Training_Size,Training_Config,Attack_Traces,Key_Rank,PCA_Components,Leakage_Model,Dataset
Template Attack (HW),45,5-shot (HW),100,30,4,HW,CHES_CTF
Template Attack (HW),45,5-shot (HW),500,14,4,HW,CHES_CTF
Template Attack (HW),45,5-shot (HW),1000,19,4,HW,CHES_CTF
Template Attack (HW),45,5-shot (HW),2000,184,4,HW,CHES_CTF
Template Attack (HW),45,5-shot (HW),5000,239,4,HW,CHES_CTF
Template Attack (HW),90,10-shot (HW),100,53,8,HW,CHES_CTF
Template Attack (HW),90,10-shot (HW),500,98,8,HW,CHES_CTF
Template Attack (HW),90,10-shot (HW),1000,24,8,HW,CHES_CTF
Template Attack (HW),90,10-shot (HW),2000,60,8,HW,CHES_CTF
Template Attack (HW),90,10-shot (HW),5000,84,8,HW,CHES_CTF
Template Attack (HW),135,15-shot (HW),100,166,8,HW,CHES_CTF
Template Attack (HW),135,15-shot (HW),500,198,8,HW,CHES_CTF
Template Attack (HW),135,15-shot (HW),1000,104,8,HW,CHES_CTF
Template Attack (HW),135,15-shot (HW),2000,128,8,HW,CHES_CTF
Template Attack (HW),135,15-shot (HW),5000,114,8,HW,CHES_CTF
Template Attack (HW),180,20-shot (HW),100,228,8,HW,CHES_CTF
Template Attack (HW),180,20-shot (HW),500,199,8,HW,CHES_CTF
Template Attack (HW),180,20-shot (HW),1000,244,8,HW,CHES_CTF
Template Attack (HW),180,20-shot (HW),2000,227,8,HW,CHES_CTF
Template Attack (HW),180,20-shot (HW),5000,174,8,HW,CHES_CTF
Template Attack (HW),1280,ID-5-shot equiv,100,25,8,HW,CHES_CTF
Template Attack (HW),1280,ID-5-shot equiv,500,140,8,HW,CHES_CTF
Template Attack (HW),1280,ID-5-shot equiv,1000,230,8,HW,CHES_CTF
Template Attack (HW),1280,ID-5-shot equiv,2000,125,8,HW,CHES_CTF
Template Attack (HW),1280,ID-5-shot equiv,5000,142,8,HW,CHES_CTF
Template Attack (HW),2560,ID-10-shot equiv,100,25,8,HW,CHES_CTF
Template Attack (HW),2560,ID-10-shot equiv,500,33,8,HW,CHES_CTF
Template Attack (HW),2560,ID-10-shot equiv,1000,27,8,HW,CHES_CTF
Template Attack (HW),2560,ID-10-shot equiv,2000,39,8,HW,CHES_CTF
Template Attack (HW),2560,ID-10-shot equiv,5000,78,8,HW,CHES_CTF
Template Attack (HW),3840,ID-15-shot equiv,100,44,8,HW,CHES_CTF
Template Attack (HW),3840,ID-15-shot equiv,500,170,8,HW,CHES_CTF
Template Attack (HW),3840,ID-15-shot equiv,1000,132,8,HW,CHES_CTF
Template Attack (HW),3840,ID-15-shot equiv,2000,125,8,HW,CHES_CTF
Template Attack (HW),3840,ID-15-shot equiv,5000,140,8,HW,CHES_CTF
Template Attack (HW),5120,ID-20-shot equiv,100,34,8,HW,CHES_CTF
Template Attack (HW),5120,ID-20-shot equiv,500,74,8,HW,CHES_CTF
Template Attack (HW),5120,ID-20-shot equiv,1000,107,8,HW,CHES_CTF
Template Attack (HW),5120,ID-20-shot equiv,2000,88,8,HW,CHES_CTF
Template Attack (HW),5120,ID-20-shot equiv,5000,163,8,HW,CHES_CTF
Template Attack (HW),45000,Full training set,100,14,8,HW,CHES_CTF
Template Attack (HW),45000,Full training set,500,130,8,HW,CHES_CTF
Template Attack (HW),45000,Full training set,1000,200,8,HW,CHES_CTF
Template Attack (HW),45000,Full training set,2000,165,8,HW,CHES_CTF
Template Attack (HW),45000,Full training set,5000,175,8,HW,CHES_CTF
