Method,K-Shot,Attack_Traces,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Count,CI95_Lower,CI95_Upper,CI95_Width
MAML,5,100,158.5,63.99696173343787,59.0,253.0,10.0,112.7193314617137,204.2806685382863,91.56133707657261
MAML,5,500,126.9,78.10598212969634,0.0,244.0,10.0,71.02634628451986,182.77365371548015,111.74730743096029
MAML,5,1000,129.3,79.29277674822873,15.0,230.0,10.0,72.57736455816291,186.0226354418371,113.4452708836742
MAML,5,2000,130.0,93.1438552872801,2.0,249.0,10.0,63.36889986986563,196.63110013013437,133.26220026026874
MAML,5,5000,121.6,80.33015208085526,1.0,254.0,10.0,64.13527094986657,179.06472905013342,114.92945810026686
MAML,5,10000,144.9,72.13636777351321,27.0,226.0,10.0,93.2967511403026,196.5032488596974,103.2064977193948
MAML,10,100,134.7,73.75492450602121,35.0,221.0,10.0,81.93890540396906,187.46109459603093,105.52218919206187
MAML,10,500,128.7,47.098124520338736,75.0,222.0,10.0,95.0080313652769,162.39196863472307,67.38393726944616
MAML,10,1000,153.3,55.59186591180004,84.0,228.0,10.0,113.53197480321606,193.06802519678396,79.5360503935679
MAML,10,2000,120.7,79.20164139713268,22.0,252.0,10.0,64.04255886094916,177.35744113905085,113.31488227810169
MAML,10,5000,151.7,50.975048362464115,68.0,212.0,10.0,115.23464712082166,188.16535287917833,72.93070575835667
MAML,10,10000,127.4,66.9298139845017,30.0,236.0,10.0,79.52129534967173,175.27870465032828,95.75740930065655
MAML,15,100,123.2,73.25723324165487,47.0,241.0,10.0,70.7949322869836,175.6050677130164,104.81013542603282
MAML,15,500,117.8,49.314861406634364,14.0,174.0,10.0,82.52227332490625,153.07772667509374,70.55545335018749
MAML,15,1000,93.3,80.88682079163316,1.0,229.0,10.0,35.43705414326397,151.16294585673603,115.72589171347207
MAML,15,2000,83.2,59.79929393860395,8.0,181.0,10.0,40.422162107792985,125.97783789220702,85.55567578441403
MAML,15,5000,143.0,75.53512795749774,0.0,218.0,10.0,88.96542457089106,197.03457542910894,108.06915085821788
MAML,15,10000,104.5,78.02029650460621,1.0,240.0,10.0,48.687642088172005,160.312357911828,111.624715823656
MAML,20,100,100.1,97.24819335654061,0.0,254.0,10.0,30.532833287509263,169.6671667124907,139.13433342498143
MAML,20,500,128.8,83.2877208503417,30.0,235.0,10.0,69.21955370567902,188.38044629432102,119.160892588642
MAML,20,1000,109.0,67.90843508398316,25.0,221.0,10.0,60.421231987811765,157.57876801218822,97.15753602437645
MAML,20,2000,89.6,51.86778062214217,13.0,163.0,10.0,52.49602493366239,126.70397506633759,74.2079501326752
MAML,20,5000,119.1,72.41462406018398,32.0,244.0,10.0,67.29769858399797,170.90230141600202,103.60460283200405
MAML,20,10000,107.3,80.66535811610831,24.0,253.0,10.0,49.595478997619324,165.00452100238067,115.40904200476135
ProtoNet,5,100,166.6,72.049674222411,44.0,249.0,10.0,115.05876797078821,218.14123202921178,103.08246405842357
ProtoNet,5,500,139.7,84.77427544826189,18.0,245.0,10.0,79.05613660792807,200.3438633920719,121.28772678414384
ProtoNet,5,1000,161.5,59.86512618656486,63.0,233.0,10.0,118.67506855457741,204.32493144542258,85.64986289084517
ProtoNet,5,2000,118.1,65.67842534314869,36.0,248.0,10.0,71.11648485633897,165.08351514366103,93.96703028732206
ProtoNet,5,5000,128.9,60.683971890808564,56.0,241.0,10.0,85.4893016251078,172.3106983748922,86.82139674978441
ProtoNet,5,10000,109.0,61.7377968148812,9.0,231.0,10.0,64.8354406879698,153.1645593120302,88.32911862406041
ProtoNet,10,100,199.8,59.79929393860395,91.0,254.0,10.0,157.022162107793,242.57783789220701,85.555675784414
ProtoNet,10,500,146.2,90.49100630572201,21.0,255.0,10.0,81.46663370936733,210.93336629063265,129.46673258126532
ProtoNet,10,1000,173.5,70.17953167887819,55.0,251.0,10.0,123.296587354487,223.703412645513,100.406825291026
ProtoNet,10,2000,154.8,76.78657290033055,8.0,249.0,10.0,99.87019478857144,209.72980521142858,109.85961042285714
ProtoNet,10,5000,140.1,48.886376198055196,60.0,207.0,10.0,105.1287931779772,175.0712068220228,69.94241364404559
ProtoNet,10,10000,95.5,65.5409117354276,15.0,211.0,10.0,48.61485616528963,142.38514383471036,93.77028766942072
ProtoNet,15,100,209.1,39.770033386402325,129.0,252.0,10.0,180.65023196565025,237.54976803434974,56.89953606869949
ProtoNet,15,500,152.5,62.54820363349996,47.0,253.0,10.0,107.75571057361083,197.24428942638917,89.48857885277835
ProtoNet,15,1000,149.1,74.63310257519782,26.0,235.0,10.0,95.71069465749608,202.4893053425039,106.77861068500783
ProtoNet,15,2000,152.7,81.34842756111925,11.0,235.0,10.0,94.50684055286112,210.89315944713886,116.38631889427774
ProtoNet,15,5000,166.2,72.31535874979195,26.0,252.0,10.0,114.46870870931198,217.931291290688,103.46258258137601
