Method,K-Shot,Attack Traces,Key Rank,Run
MAML,5,100,131,1
MAML,5,500,145,1
MAML,5,1000,89,1
MAML,5,2000,15,1
MAML,5,5000,117,1
MAML,5,10000,198,1
ProtoNet,5,100,44,1
ProtoNet,5,500,178,1
ProtoNet,5,1000,174,1
ProtoNet,5,2000,73,1
ProtoNet,5,5000,146,1
ProtoNet,5,10000,180,1
Siamese,5,100,150,1
Siamese,5,500,243,1
Siamese,5,1000,247,1
Siamese,5,2000,167,1
Siamese,5,5000,72,1
Siamese,5,10000,177,1
MAML,10,100,221,1
MAML,10,500,136,1
MAML,10,1000,90,1
MAML,10,2000,35,1
MAML,10,5000,82,1
MAML,10,10000,30,1
ProtoNet,10,100,251,1
ProtoNet,10,500,198,1
ProtoNet,10,1000,198,1
ProtoNet,10,2000,131,1
ProtoNet,10,5000,164,1
ProtoNet,10,10000,197,1
Siamese,10,100,224,1
Siamese,10,500,182,1
Siamese,10,1000,119,1
Siamese,10,2000,76,1
Siamese,10,5000,33,1
Siamese,10,10000,61,1
MAML,15,100,84,1
MAML,15,500,110,1
MAML,15,1000,28,1
MAML,15,2000,28,1
MAML,15,5000,218,1
MAML,15,10000,240,1
ProtoNet,15,100,176,1
ProtoNet,15,500,64,1
ProtoNet,15,1000,26,1
ProtoNet,15,2000,24,1
ProtoNet,15,5000,143,1
ProtoNet,15,10000,79,1
Siamese,15,100,235,1
Siamese,15,500,141,1
Siamese,15,1000,168,1
Siamese,15,2000,187,1
Siamese,15,5000,146,1
Siamese,15,10000,83,1
MAML,20,100,246,1
MAML,20,500,235,1
MAML,20,1000,143,1
MAML,20,2000,57,1
MAML,20,5000,109,1
MAML,20,10000,142,1
ProtoNet,20,100,239,1
ProtoNet,20,500,165,1
ProtoNet,20,1000,210,1
ProtoNet,20,2000,248,1
ProtoNet,20,5000,232,1
ProtoNet,20,10000,97,1
Siamese,20,100,221,1
Siamese,20,500,135,1
Siamese,20,1000,75,1
Siamese,20,2000,161,1
Siamese,20,5000,102,1
Siamese,20,10000,29,1
MAML,5,100,141,2
MAML,5,500,23,2
MAML,5,1000,15,2
MAML,5,2000,2,2
MAML,5,5000,33,2
MAML,5,10000,114,2
ProtoNet,5,100,235,2
ProtoNet,5,500,236,2
ProtoNet,5,1000,192,2
ProtoNet,5,2000,170,2
ProtoNet,5,5000,118,2
ProtoNet,5,10000,54,2
Siamese,5,100,252,2
Siamese,5,500,165,2
Siamese,5,1000,198,2
Siamese,5,2000,204,2
Siamese,5,5000,125,2
Siamese,5,10000,91,2
MAML,10,100,197,2
MAML,10,500,191,2
MAML,10,1000,225,2
MAML,10,2000,252,2
MAML,10,5000,188,2
MAML,10,10000,145,2
ProtoNet,10,100,254,2
ProtoNet,10,500,21,2
ProtoNet,10,1000,55,2
ProtoNet,10,2000,8,2
ProtoNet,10,5000,60,2
ProtoNet,10,10000,19,2
Siamese,10,100,178,2
Siamese,10,500,2,2
Siamese,10,1000,17,2
Siamese,10,2000,10,2
Siamese,10,5000,98,2
Siamese,10,10000,124,2
MAML,15,100,62,2
MAML,15,500,174,2
MAML,15,1000,24,2
MAML,15,2000,25,2
MAML,15,5000,115,2
MAML,15,10000,62,2
ProtoNet,15,100,165,2
ProtoNet,15,500,149,2
ProtoNet,15,1000,233,2
ProtoNet,15,2000,235,2
ProtoNet,15,5000,249,2
ProtoNet,15,10000,219,2
Siamese,15,100,151,2
Siamese,15,500,141,2
Siamese,15,1000,222,2
Siamese,15,2000,235,2
Siamese,15,5000,241,2
Siamese,15,10000,211,2
MAML,20,100,0,2
MAML,20,500,73,2
MAML,20,1000,53,2
MAML,20,2000,156,2
MAML,20,5000,244,2
MAML,20,10000,253,2
ProtoNet,20,100,220,2
ProtoNet,20,500,70,2
ProtoNet,20,1000,195,2
ProtoNet,20,2000,158,2
ProtoNet,20,5000,122,2
ProtoNet,20,10000,58,2
Siamese,20,100,253,2
Siamese,20,500,127,2
Siamese,20,1000,209,2
Siamese,20,2000,189,2
Siamese,20,5000,108,2
Siamese,20,10000,62,2
MAML,5,100,224,3
MAML,5,500,244,3
MAML,5,1000,217,3
MAML,5,2000,192,3
MAML,5,5000,217,3
MAML,5,10000,226,3
ProtoNet,5,100,88,3
ProtoNet,5,500,18,3
ProtoNet,5,1000,69,3
ProtoNet,5,2000,143,3
ProtoNet,5,5000,78,3
ProtoNet,5,10000,119,3
Siamese,5,100,170,3
Siamese,5,500,15,3
Siamese,5,1000,45,3
Siamese,5,2000,88,3
Siamese,5,5000,84,3
Siamese,5,10000,173,3
MAML,10,100,41,3
MAML,10,500,93,3
MAML,10,1000,158,3
MAML,10,2000,63,3
MAML,10,5000,169,3
MAML,10,10000,183,3
ProtoNet,10,100,174,3
ProtoNet,10,500,91,3
ProtoNet,10,1000,174,3
ProtoNet,10,2000,164,3
ProtoNet,10,5000,207,3
ProtoNet,10,10000,211,3
Siamese,10,100,190,3
Siamese,10,500,159,3
Siamese,10,1000,182,3
Siamese,10,2000,201,3
Siamese,10,5000,189,3
Siamese,10,10000,164,3
MAML,15,100,203,3
MAML,15,500,146,3
MAML,15,1000,187,3
MAML,15,2000,100,3
MAML,15,5000,160,3
MAML,15,10000,191,3
ProtoNet,15,100,232,3
ProtoNet,15,500,136,3
ProtoNet,15,1000,89,3
ProtoNet,15,2000,160,3
ProtoNet,15,5000,154,3
ProtoNet,15,10000,37,3
Siamese,15,100,199,3
Siamese,15,500,123,3
