Method,K-Shot,Attack Traces,Key Rank,Run
MAML,5,100,122,9
MAML,5,500,0,9
MAML,5,1000,16,9
MAML,5,2000,3,9
MAML,5,5000,1,9
MAML,5,10000,83,9
ProtoNet,5,100,214,9
ProtoNet,5,500,182,9
ProtoNet,5,1000,206,9
ProtoNet,5,2000,50,9
ProtoNet,5,5000,56,9
ProtoNet,5,10000,97,9
Siamese,5,100,219,9
Siamese,5,500,230,9
Siamese,5,1000,248,9
Siamese,5,2000,101,9
Siamese,5,5000,40,9
Siamese,5,10000,95,9
MAML,10,100,75,9
MAML,10,500,222,9
MAML,10,1000,228,9
MAML,10,2000,202,9
MAML,10,5000,124,9
MAML,10,10000,147,9
ProtoNet,10,100,120,9
ProtoNet,10,500,82,9
ProtoNet,10,1000,192,9
ProtoNet,10,2000,190,9
ProtoNet,10,5000,186,9
ProtoNet,10,10000,74,9
Siamese,10,100,70,9
Siamese,10,500,83,9
Siamese,10,1000,206,9
Siamese,10,2000,193,9
Siamese,10,5000,166,9
Siamese,10,10000,173,9
MAML,15,100,241,9
MAML,15,500,152,9
MAML,15,1000,229,9
MAML,15,2000,171,9
MAML,15,5000,218,9
MAML,15,10000,74,9
ProtoNet,15,100,239,9
ProtoNet,15,500,133,9
ProtoNet,15,1000,184,9
ProtoNet,15,2000,188,9
ProtoNet,15,5000,195,9
ProtoNet,15,10000,213,9
Siamese,15,100,248,9
Siamese,15,500,120,9
Siamese,15,1000,180,9
Siamese,15,2000,205,9
Siamese,15,5000,147,9
Siamese,15,10000,137,9
MAML,20,100,6,9
MAML,20,500,49,9
MAML,20,1000,72,9
MAML,20,2000,84,9
MAML,20,5000,49,9
MAML,20,10000,108,9
ProtoNet,20,100,238,9
ProtoNet,20,500,188,9
ProtoNet,20,1000,237,9
ProtoNet,20,2000,201,9
ProtoNet,20,5000,247,9
ProtoNet,20,10000,244,9
Siamese,20,100,158,9
Siamese,20,500,168,9
Siamese,20,1000,204,9
Siamese,20,2000,184,9
Siamese,20,5000,145,9
Siamese,20,10000,82,9
