Method,Training_Config,Training_Size,Attack_Traces,Mean_Key_Rank,Std_Key_Rank,Median_Key_Rank,Min_Key_Rank,Max_Key_Rank,CI_Lower,CI_Upper,N_Runs
Template Attack,10-shot equivalent,2560,100,96.1,83.28725392679642,48.0,14,204,36.519887722661686,155.6801122773383,10
Template Attack,10-shot equivalent,2560,500,85.2,71.87767386330752,68.0,2,193,33.78180961550536,136.61819038449465,10
Template Attack,10-shot equivalent,2560,1000,55.6,50.69341399257129,40.0,0,168,19.336116212288182,91.86388378771181,10
Template Attack,10-shot equivalent,2560,2000,70.6,59.95961603909381,68.0,8,178,27.707474586025,113.49252541397499,10
Template Attack,10-shot equivalent,2560,5000,49.5,48.116178845235275,24.0,12,136,15.079759173290874,83.92024082670912,10
Template Attack,10-shot equivalent,2560,10000,48.5,30.721870602769833,44.0,10,102,26.522897699428434,70.47710230057157,10
Template Attack,15-shot equivalent,3840,100,94.9,63.11972750258037,86.5,8,182,49.74686702692698,140.05313297307305,10
Template Attack,15-shot equivalent,3840,500,101.4,84.29999340977963,92.0,0,232,41.0954175395426,161.7045824604574,10
Template Attack,15-shot equivalent,3840,1000,96.8,86.97739169845613,62.5,4,235,34.58012218365649,159.0198778163435,10
Template Attack,15-shot equivalent,3840,2000,78.0,80.50948874373614,40.5,3,214,20.406981229577823,135.5930187704222,10
Template Attack,15-shot equivalent,3840,5000,85.4,78.17814414670012,50.5,3,224,29.47472468730615,141.32527531269386,10
Template Attack,15-shot equivalent,3840,10000,87.8,72.9456418620514,84.5,0,251,35.61783133222937,139.98216866777062,10
Template Attack,20-shot equivalent,5120,100,94.9,49.38162051253933,80.5,27,196,59.574516737459525,130.22548326254048,10
Template Attack,20-shot equivalent,5120,500,63.7,51.87816924723197,56.5,6,150,26.588593358960686,100.81140664103933,10
Template Attack,20-shot equivalent,5120,1000,68.9,52.22908938300358,56.0,6,174,31.537560216386105,106.2624397836139,10
Template Attack,20-shot equivalent,5120,2000,91.7,58.520746558616096,78.0,34,189,49.8367798057006,133.5632201942994,10
Template Attack,20-shot equivalent,5120,5000,80.2,62.87518500083231,73.5,3,188,35.221802194360116,125.17819780563988,10
Template Attack,20-shot equivalent,5120,10000,103.8,86.2925257481782,78.5,15,224,42.07004577086407,165.5299542291359,10
Template Attack,5-shot equivalent,1280,100,122.8,82.25002532927675,126.5,7,238,63.96187636298598,181.63812363701402,10
Template Attack,5-shot equivalent,1280,500,89.9,63.93303788600487,71.0,9,225,44.165059827432245,135.63494017256778,10
Template Attack,5-shot equivalent,1280,1000,98.3,80.43085367085334,81.5,12,233,40.76323337201744,155.83676662798257,10
Template Attack,5-shot equivalent,1280,2000,89.5,78.64300491602684,80.0,0,204,33.24218332564523,145.75781667435479,10
Template Attack,5-shot equivalent,1280,5000,103.6,92.92314626136543,80.5,1,235,37.12678559576763,170.07321440423237,10
Template Attack,5-shot equivalent,1280,10000,110.9,85.34693901951024,131.0,2,220,49.84647776742763,171.95352223257237,10
Template Attack,Full training set,50000,100,21.0,0.0,21.0,21,21,,,10
Template Attack,Full training set,50000,500,0.0,0.0,0.0,0,0,,,10
Template Attack,Full training set,50000,1000,4.0,0.0,4.0,4,4,,,10
Template Attack,Full training set,50000,2000,38.0,0.0,38.0,38,38,,,10
Template Attack,Full training set,50000,5000,54.0,0.0,54.0,54,54,,,10
Template Attack,Full training set,50000,10000,74.0,0.0,74.0,74,74,,,10
